title,etymology,part_of_speech,definition,source
ԿԱՆԴՐԻՒ,Etymology needs research,,"«փայտէ մեծ անուր» Նչ. եզեկ. Մագ. թղ. 138 «Եգիպտացի ճգնաւորների մէջքի անուրը» Մաշտ. (ըստ Հացունի, Պատ",merge_complete.py
ԿԱՆԵԼ,Etymology needs research,,"«կաթկթիլ» կամ ուրիշ անծանօթ նշանակութեամբ մի բառ, որի վրայ աւելի ընդարձակ տե՛ս Կալլակ։",merge_complete.py
ԿԱՆԹ,Etymology needs research,,«կոթ (որևէ ամանի)» Երզն. քեր. ւրիշ վկայութիւն չկայ հնից։,merge_complete.py
ԿԱՆԹՈՂ,Etymology needs research,,«կոճատ». ունի միայն Բառ. ե-րեմ. էջ 155։,merge_complete.py
ԿԱՆԿԱՏՈՒՆԿ,Etymology needs research,,"«կառափուշ, մի տեսակ փուշ». մէկ անգամ ունի Փիլ. նխ. Բ. 104 (Մոլաձիթենիք և կանկատունք և քսուկք)։ Սրա մ",merge_complete.py
ԿԱՆՃՈԽ,Etymology needs research,,", ո հլ. «գաւա-ղան, ցուպ, ձող» Սահմ. ժբ. ուրիշ վկայու-թիւն չունինք։",merge_complete.py
ԿԱՆՈՒԱԾ,Etymology needs research,,«շճուկ». ունի միայն Բառ. երեմ. էջ 155։,merge_complete.py
ԿԱՆՍԿԵՐ,Etymology needs research,,", նորագիւտ բառ՝ անյայտ նշա-նաևութեամբ. մէկ անգամ ունի Վստկ. 187 «Հան և լուա ի կթոց հով ջրով աղէկ և թ",merge_complete.py
ԿԱՆՏԻՏՕՐԱՅ,Etymology needs research,,"(կամ ուրիշ ձեռագիրների համեմատ՝ կանտիտօր, կանտիտայ, կանդի-տօրայ) «թագաւորի զինակիրն ու կարա-պետը». մ",merge_complete.py
ԿԱՇԱՅԷԼ,Etymology needs research,,"«կափետել». ունի միայն Բառ. եռեմ. էջ 155, որ և էջ 156 դառնում է կա-չիտէ «կափատէ» (ներկ. եզ. գ դէմք)։ ",merge_complete.py
ԿԱՇԱՌ,Etymology needs research,,", ի-ա, ո հլ. «կողմնակցութեան համար տրուած վարձք» ՍԳր. որից կաշա-ռել Եփր. թգ. կաշառաբեկ Գ. մակ. դ. 15",merge_complete.py
ԿԱՇԿԱՆԴԵԼ,Etymology needs research,,«ամուր կերպով կապել» Իմ ժէ. 2. Պիտ. Յհ. կթ. որից անկաշկանդ (նոր բառ)։,merge_complete.py
ԿԱՇՄԲՈՒՌՆ,Etymology needs research,,տե՛ս Կարշն։,merge_complete.py
ԿԱՊ,Etymology needs research,,", ո հլ. (յետնաբար նաև ի, ի-ա հլ. սակայն կայ գրծ. կապօք Կորիւն. Վեցօր) «կապ, կապանք», նմանութեամբ «սի",merge_complete.py
ԿԱՊԱՆ,Etymology needs research,,տե՛ս Կապ։,merge_complete.py
ԿԱՊԱՐԱՍԻ,Etymology needs research,,«հնդկական մի բոյս. costus» Բժշ. ունի միայն ՀԲուս. § 1310։,merge_complete.py
ԿԱՊԵՌՆԵԱՅ,Etymology needs research,,տե՛ս Տաբեռնի։,merge_complete.py
ԿԱՊԷՆԴԱՔՏԻՈՆ,Etymology needs research,,«մի տեսակ խոտ է» Բժշկ. ունի միայն ՀԲուս. § 1311։,merge_complete.py
ԿԱՊՃԵԼ,Etymology needs research,,տե՛ս Ընկապճելս,merge_complete.py
ԿԱՊՈՒՏ,Etymology needs research,,"(ի հլ. ըստ ԱԲ) «աւար, կողո-պուտ» ՍԳր. «կապտեալ, կողոպտուած» Բ. մակ. թ. 16. Վեցօր. Եւս. քր. Եփր. ծն. ",merge_complete.py
ԿԱՊՊԱՏ,Etymology needs research,,տե՛ս Կապար։,merge_complete.py
ԿԱՊՌԱՇ,Etymology needs research,,"(որ և կապրաշ, կաւրաշ, կապ-ռաշենի) «մի տեսակ բոյս, որից նարնջա-ռոյն ներկ են պատրաստում» (haematoxу-lo",merge_complete.py
ԿԱՊՐԵՆԻ,=Նոյն ընդ կապար։,,«մի տեսակ բոյս է» Բժշ. ունի միայն ՀԲուս. § 1321։,Calfa lexical-databases: etymology/etymology01.xml
ԿԱՊՐՈՒԿ,Etymology needs research,,"«մի տեսակ բոյս, որ բացա-տրւում է յն. իրէս հոմանիշով» Գաղիան. ունի մեայն ՀԲուս. § 1322։",merge_complete.py
ԿԱՌ,Etymology needs research,,«դափնի» տե՛ս Ղար։,merge_complete.py
ԿԱՌԱԳՈՅԺ,Etymology needs research,,"«բերանակապ, գայլ». նորա-գիւտ բառ, որ երկու անգամ գտնում եմ գործածուած Վրք. և վկ. Բ. 448 «Հրամա-յեաց ",merge_complete.py
ԿԱՌԱԺՈՒՂ,Etymology needs research,,"(կամ կառածուղ, կարածուղ) «մժեղ, մժղուկ». մէկ անգամ ունի Փիլ. նխ. բ. 75. ձևն անստոյգ է. Բառ. երեմ. էջ",merge_complete.py
ԿԱՌԱԼ,Etymology needs research,,". անստոյգ բառ. մէկ անգամ ունի Ոսևիփ. «Մեղայ խաղալով, կառալով, շօ-շափելով». թերևս նշանակում է «գիջանա",merge_complete.py
ԿԱՌԱՀԱՍ,Etymology needs research,,«կագ շան». ունի միայն Բառ երեմ. էջ 156։,merge_complete.py
ԿԱՌԱՆ,Etymology needs research,,«վայրի փեգենայ. ruta eraveo-lens» Բժշ. ունի միայն ՀԲուս. § 1326։,merge_complete.py
ԿԱՌԱՓՆ,Etymology needs research,,", ն հլ. (-փին, -փունք, -փանց) «ուուխ, գանկ» ՍԳր. Եւս. պտմ. Եփր. ծն-էջ 106. որից ընդ կառափն հանել «գլ",merge_complete.py
ԿԱՌԵԼ,Etymology needs research,,«վառել կամ յամառիլ». ունի մի-այն Բառ. երեմ. էջ 156. առաջին իմաստով տե՛ս կառ արմատի տակ գւռ. կառ տալ.,merge_complete.py
ԿԱՌԿՈՒՌ,Etymology needs research,,"«ստեպ, լաճախ, շատ անգամ» նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Վստկ. էջ I «Իւր տէրն ստէպ հ",merge_complete.py
ԿԱՌՄՆԻ,Etymology needs research,,«փանդռնահարաց մրմունջ». ու-նի միայն Բառ. երեմ. էջ 157։,merge_complete.py
ԿԱՌՆ,Etymology needs research,,"«Ռառախ». արմատ առանձին ան-գործածական, որից կազմուած է կառնա-ջուր «վէրքից վազած թարախոտ և արիւնոտ ջու",merge_complete.py
ԿԱՌՆՈՒԼ,Etymology needs research,,"«վախենալ». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած նոր Վկ. 535 (Ժէ դարու վերջից). «Խնդալով վ",merge_complete.py
ԿԱՌՈՒՏԱՆԵԼ ԿԱՌՉԻ,Etymology needs research,,լ տե՛ս Կառ։,merge_complete.py
ԿԱՍԻՄՈՆ,Etymology needs research,,"«մի տեսակ խունկ կամ կա-սիա» Խոր. աշխ. 615, 616։",merge_complete.py
ԿԱՍԼԱՅ,Etymology needs research,,"(ի հլ. ըստ ՆՀԲ) «դափնի» Վստկ. 74, 137. Լծ. փիլ. Մարթին. Բժշ. որից կաս-լապտուղ «դափնիի պտուղը». նմանո",merge_complete.py
ԿԱՍԼԻԿ,Etymology needs research,,"«մի տեսակ բոյս, որի փայտր թթու նռան արմատին խփելով՝ նուռը քաղց-րացնում են» Վանակ. ունի միայն ՀԲուս. ",merge_complete.py
ԿԱՍԿԱԾ,Etymology needs research,,"(գրուած նաև կարկաժ, արկած, կաժ) «մի տեսակ բոյս. malabathrum, ա-րաբ. սատէն» Բժշ. ունի միայն ՀԲուս. § ",merge_complete.py
ԿԱՍԿԱՄ,Etymology needs research,,"«ռուիճակ, մի տեսակ բու». Մխ. առակ. նոյն է կասուկամ Տաղ. (Կասուկամն կախուել ընդ ծառն ի վար, Յաչիցն ար",merge_complete.py
ԿԱՍԿԱՄՈՆ,Etymology needs research,,տե՛ս Սակամոնի։,merge_complete.py
ԿԱՍԿԵԼ,Etymology needs research,,«ամուսնութեան օրէնքը պղծել». մէկ անգամ ունի Մանդ. էջ 150 «Ջազիր և գարշելի անկողնեօք ամուսնութիւն կաս,merge_complete.py
ԿԱՍՏ,Etymology needs research,,"«աքցան». մէկ անգամ ունի Ոսկիփ. սառատռութեամբ հանդերձ. «Զմի բևեռն (խաղի) և զկաստն, որ է աքցանք»։",merge_complete.py
ԿԱՍՏԻՆ,Etymology needs research,,«կառամարն է». այսպէս է մեկնում Բառ. երեմ. էջ 157. թուի թէ ուզում է ասել կաղամար «թանաքաման».,merge_complete.py
ԿԱՍՔԵԼ,Etymology needs research,,". անստոյգ բառ. մէկ անգամ ու-նի Գնձ. «Զնոյն դեղ մահաձիր արբուցեալ, ի բարուրս՝ գերակայիդ լինել հաւասար",merge_complete.py
ԿԱՏԱԲ,Etymology needs research,,«խոտակեր մի թռչուն է» Մխ. ա-ռակ ճխդ։,merge_complete.py
ԿԱՏԱԳԱՀԵԼ,Etymology needs research,,"«կազդուրել, քաջալերել». ու-նին միայն Բառ. երեմ. էջ 157 և ՀՀԲ. ան-ստոյգ բառ։",merge_complete.py
ԿԱՏԱՂ,Etymology needs research,,". արմատ առանձին անգործածա-կան, որից (ի ածականակերտ վերջաւորու-թեամբ) կատաղի «մոլեգնած» Ոսկ. լհ. կա-տ",merge_complete.py
ԿԱՏԱՂՈՒՆԻ,Etymology needs research,,(միայն անեգաբար գործած-ոսած) «եկեղեցու վերնատունը՝ որ կանանց է յատկացուած». այս իմաստով երկու ան-գամ,merge_complete.py
ԿԱՏԱՒԱՆ,Etymology needs research,,"«զուիրակ բոյսը, ուրց, origa-num vulgare L» (ըստ Տիրացուեան, Cont-ributo § 417) Գաղիան։",merge_complete.py
ԿԱՏԻԿ,ՓՈԽ.-Ուտ. կատիկ «մակալեզու»։,,"«մակայեզու, épiglotte», որ և գը-թիկ. երկուսն էլ իբրև մհյ. բառ ունի Նո-րայր, Բառ. ֆր. 481ա. կենդանի է",Calfa lexical-databases: etymology/etymology01.xml
ԿԱՏԻՃԱԿԵԼ,Etymology needs research,,«կատակել». այս բառը ունի միայն ՓԲ. չգիտէ Բառ. երեմ. սակայն վեր-ջինս էլ՝ էջ 157 ունի կատիճակօղ «կատա-,merge_complete.py
ԿԱՏՆԵԼ,Etymology needs research,,"«յոգնիլ, վաստակիլ». գիտէ մի-այն ՓԲ. նոյն բառն է որ Բառ. երեմ, էջ 152 գրում է կատնէի «օգնիւր»։-Անստոյ",merge_complete.py
ԿԱՏՍԱՅ,Etymology needs research,,տե՛ս Կաթսայ։,merge_complete.py
ԿԱՐ,Etymology needs research,,"«ցաւ, վիշտ». արմատ առանձին ան-զործածական, որից ունինք կարիք «ցաւ, վիշտ» ՍԳր. Եզն. կարեկից «ցաւակից, ",merge_complete.py
ԿԱՐԱԽ,Etymology needs research,,"«քաջ, նահատակ, ընտիր, կորո-վի». ունին միայն Բառ. երեմ. էջ 157 և ՓԲ որից կարախել «քաջանալ, զօրանալ», ",merge_complete.py
ԿԱՐԱԿԱՐԵՂԻԱՆ,Etymology needs research,,ն «ինչք». ունի միայն Բառ. երեմ. էջ 158։,merge_complete.py
ԿԱՐԱԿԻ,Etymology needs research,,«յոյժ». ունի միայն Բառ. երեմ էջ 158։ Գուցէ կազմուած կարի «յոյժ» բա-ռից՝ -ակի մասնիկով. ինչ. կրկնակի ,merge_complete.py
ԿԱՐԱԿԻՄ,Etymology needs research,,"«փոսատ». անստոյգ բառ, որ մի քանի անգամ յիշուած է Բառ. երեմ. էջ 158, 161 (երկիցս) և 169՝ ամէն անգամ տ",merge_complete.py
ԿԱՐԱԿՈՒՄ,Etymology needs research,,"«տղմոտ» Ագաթ. «տիղմ, ցեխ» Նար. էջ 222. ուրիշ վկայութիւն չու-նինք։",merge_complete.py
ԿԱՐԱՄՈՒՏ,Etymology needs research,,տե՛ս Կար։,merge_complete.py
ԿԱՐԱՆՈՆ,Etymology needs research,,"«մակեդոնական կանացի մի զգեստ». նորագիւտ բառ, որ մէկ անռամ գտնում եմ գործածուած Կալիսթ. 122 «Ա-ռաքեցի",merge_complete.py
ԿԱՐԱՊԵՏ,Etymology needs research,,". ի-ա հլ» «ռահահորդ, առաջ-նորդ, առաջից գնալով ճանապարհ բաց ա-նոր» ՍԳր. Մծբ. Ոսկ. մ. բ. 9 (յատկապէս թ",merge_complete.py
ԿԱՐԱՐ,Etymology needs research,,«անիսոն» Գաղիան. ունի միայն ՀԲուս. § 1357։,merge_complete.py
ԿԱՐԱՒԱՆԴ,Etymology needs research,,". անստոյգ նշանակութեամբ բառ. մէկ անգամ գործածուած է Ա. թագ, լա. 3 «Վիրաւորեցաւ ընդ կարաւանդսն ի ներք",merge_complete.py
ԿԱՐԲԱՆՈՑ,Etymology needs research,,«սատեր և օսան տռամ ռս. կի». մէկ անգամ ունի Պատմ. աղէքս. 150 «Եւ անծակ զմրխտաց այլ կարբանոզս տա-սըն և,merge_complete.py
ԿԱՐԴ,Etymology needs research,,"«մի տեսակ խոտ. sicelium, cocco-cypselum» Ստ. լեհ. ունի միայն ՀԲուս. § 1359։ Կարո՞ղ է արդեօք ազդուած ",merge_complete.py
ԿԱՐԴԻՆ,Etymology needs research,,«նարդոս ծաղիկը». մէկ անգամ ունի Խոր. աշխ. (ըստ ձեռ.) չեն յիշում ՋԲ և ՀԲուս. ըստ որում տպուած է նարդի,merge_complete.py
ԿԱՐԵՆՂԱՅ,Etymology needs research,,«աթոռք». ու-նի միայն Բառ. երեմ. էջ 158։,merge_complete.py
ԿԱՐԻ,Etymology needs research,,տե՛ս Կար։,merge_complete.py
ԿԱՐԻԱՏՈՍ,Etymology needs research,,«պաշտելի կամ երկրպագելի». ունի միայն Բառ. երեմ. էջ 152։,merge_complete.py
ԿԱՐԻԿԱՐՍ,Etymology needs research,,. անստոյգ բառ. մէկ անռամ գտնում եմ գործածուած Կաղանկատուացու մէջ. «Նեբրովթ սկայ զբոլորս հրապուրէր ազ,merge_complete.py
ԿԱՐԻՇՆ,Etymology needs research,,«նմանութիւն կամ կա՛ ար». այս-պէս ունի Բառ. երեմ. էջ 158 (բ. տպ. կամ այար). երկուսն էլ անհասկանալի։,merge_complete.py
ԿԱՐԻՔ,Etymology needs research,,տե՛ս Կար։,merge_complete.py
ԿԱՐԾՈՒՆ,Etymology needs research,,«պիտանի». ունի միայն Բառ. երեմ. էջ 168։,merge_complete.py
ԿԱՐԿԱԺ,Etymology needs research,,"«դդում». նորագիւտ բառ, որ ա-ռանձին չէ գործածուած, այլ կայ միայն կժա-կարկաժ «մեծ դդում՝ որ իբրև դինու",merge_complete.py
ԿԱՐԿԱՄ,Etymology needs research,,", ի հլ. «խիստ ոլորուած, կորա-ցած, կծկուած»Վրք. հց. Ա. 560. Նար. Տաղ. «ժլատ, կծծի» Սիր. դ. 36. Մխ. այ",merge_complete.py
ԿԱՐԿԱՆԴԱԿ,Etymology needs research,,"(ի-ա հլ. ըստ ՆՀԲ, բայց ա-ռանց վկայութեան) «մի տեսակ խմորեղէն» Երեմ. է. 18, խդ. 19։",merge_complete.py
ԿԱՐԿԱՌԻԼ,Etymology needs research,,«վանդակ». ունի միայն Բառ. երեմ. էջ 159։,merge_complete.py
ԿԱՐԿԱՏԵԼ,Etymology needs research,,տե՛ս Կառ.,merge_complete.py
ԿԱՐԿԱՐԵԱՑ,Etymology needs research,,«զազեաց». այսպէս ունի Բռ. երեմ. էջ 159. ի՛նչ լինելը յայտնի չէ։,merge_complete.py
ԿԱՐԿԱՐԻՈՒՆ,Etymology needs research,,«մի տեսակ բոյս. լտ. chamaeleon» Բժշ. ունի միայն ՀԲու.. § 1362։,merge_complete.py
ԿԱՐԿԵԼ,Etymology needs research,,"«փակել, ամրացնել» (դուռ, սեն-եակ). այս նախնական իմաստով (որ չու-նին բառարանները) մէկ անգամ գտնում եմ",merge_complete.py
ԿԱՐԿԻԿԱՆ,Etymology needs research,,տե՛ս կարկինոս։,merge_complete.py
ԿԱՐԿԻՆ,Etymology needs research,,տե՛ս Կարակին։,merge_complete.py
ԿԱՐՃ,Etymology needs research,,", ո հլ. «ո՛չ-երկար, համառօտ» Ղկ. ժթ. 3. Ոսկ. յհ. և մտթ. Կորիւն. որից կար-ճոլ «կարճ» Ել. ժգ. 17. Եփր.",merge_complete.py
ԿԱՐՃԵԱՆ,Etymology needs research,,"«բաւական մեծարժէք մի դրա-մի անուն». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Կանոն. 91 «Իսկ ո",merge_complete.py
ԿԱՐՃԸՆԴԵԱՑ,Etymology needs research,,տե՛ս Կարիճ.,merge_complete.py
